,название,полное название,издательство,год основания,рецензируемый,выпусков в год,импакт-фактор jcr,статей в выпуске,импакт-фактор ринц 2018,сокращение,страна,город,регион,issn печатной версии,подписной индекс,тираж,вариант представления,www-адрес,isi,всего статей,в настоящее время,scopus,всего выпусков,доступный архив,ринц,полных текстов,реферативный,перечень вак,цитирований,мультидисциплинарный,rsci,esci,doaj,crossref,ядро ринц,web of science,префикс doi,базы данных
1103,Acta Universitatis Pontica Euxinus,acta universitatis pontica euxinus,-,-,-,-,нет,-,нет,-,болгария,варна,-,1312-1669,-,-,-,-,нет,8,выходит,нет,5,2010 - 2014,нет,0,нет,-,57,да,нет,-,нет,-,-,-,-,-
1104,ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA,-,-,-,-,-,-,-,-,-,poland,-,-,1844-6086,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,да,нет,да,да,-,-
1105,"Acta Universitatis Sapientiae, Philologica",-,-,-,-,-,-,-,-,-,poland,-,-,2067-5151,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,да,нет,да,нет,-,-
1106,Acta Universitatis Sapientiae. Mathematica,acta universitatis sapientiae. mathematica,-,-,-,-,нет,-,нет,-,польша,-,-,1844-6094,-,-,-,https://www.emis.de/journals/ausm/,да,27,выходит,да,12,2015 - 2021,нет,0,нет,-,107,нет,нет,-,да,-,-,-,-,-
1107,ACTA UNIVERSITATIS SAPIENTIAE-FILM AND MEDIA STUDIES,-,-,-,-,-,-,-,-,-,poland,-,-,2065-5924,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,нет,нет,да,да,-,-
1108,Acta Universitatis Szegediensis. Acta Scientiarum Mathematicarum,acta universitatis szegediensis. acta scientiarum mathematicarum,-,1921,-,-,нет,-,нет,-,венгрия,-,-,0001-6969,-,-,-,http://www.math.u-szeged.hu/acta,да,105,выходит,да,28,1978 - 2021,нет,0,нет,-,380,нет,нет,-,нет,-,-,-,-,-
1109,Acta Universitatis Upsaliensis: Studia Uralica Upsaliensia,acta universitatis upsaliensis: studia uralica upsaliensia,-,-,-,-,нет,-,нет,-,-,-,-,1101-7430,-,-,-,-,нет,2,выходит,нет,2,1999 - 2009,нет,0,нет,-,245,нет,нет,-,нет,-,-,-,-,-
1110,Acta Universitatis Upsaliensis: Uppsala Studies on Eastern Europe,acta universitatis upsaliensis: uppsala studies on eastern europe,-,-,-,-,нет,-,нет,-,-,-,-,1104-6481,-,-,-,-,нет,1,выходит,нет,1,2014 - 2014,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
1111,"Acta Universitatis Wratislaviensis, Studia Geograficzne","acta universitatis wratislaviensis, studia geograficzne",-,-,-,-,нет,-,нет,acta univ. wratislav. stud. geogr.,польша,-,-,0591-2776,-,-,-,-,нет,7,не выходит,нет,5,1996 - 2005,нет,0,нет,-,537,нет,нет,-,нет,-,-,-,-,-
1112,Acta Urologica Belgica,acta urologica belgica,acta medica belgica,-,-,-,нет,-,нет,-,бельгия,-,-,0001-7183,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,12,нет,нет,-,нет,-,-,-,-,-
1113,Acta Urologica Italica,acta urologica italica,s. karger ag,-,-,-,нет,-,нет,-,швейцария,-,-,0394-2511,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,26,нет,нет,-,нет,-,-,-,-,-
1114,Acta Urologica Japonica,acta urologica japonica,kyoto university,-,-,-,нет,-,нет,-,япония,-,-,0018-1994,-,-,-,-,нет,67,выходит,да,58,1997 - 2021,нет,0,нет,-,1433,нет,нет,-,нет,-,-,-,-,-
1115,Acta Veterinaria,acta veterinaria,veterinarski fakultet,-,-,-,есть,-,нет,-,сербия,-,-,0567-8315,-,-,-,-,да,84,выходит,да,57,1996 - 2021,нет,0,нет,-,811,нет,нет,-,да,-,-,-,-,-
1116,Acta veterinaria Academiae Scientiarum Hungaricae,acta veterinaria academiae scientiarum hungaricae,akademiai kiado,1951,-,-,нет,-,нет,-,венгрия,-,-,0001-7205,-,-,-,-,нет,2,не выходит,нет,2,1974 - 1975,нет,0,нет,-,6,нет,нет,-,нет,-,-,-,-,-
1117,Acta Veterinaria Brasilica,acta veterinaria brasilica,-,-,-,-,нет,-,нет,-,бразилия,-,-,-,-,-,-,-,нет,14,выходит,да,10,2011 - 2019,нет,0,нет,-,72,нет,нет,-,да,-,-,-,-,-
1118,Acta Veterinaria Brno,acta veterinaria brno,university of veterinary and pharmaceutical sciences,-,-,-,есть,-,нет,-,чехия,-,-,0001-7213,-,-,-,-,да,125,выходит,да,74,1996 - 2021,нет,0,нет,-,2568,нет,нет,-,нет,-,-,-,-,-
1119,Acta Veterinaria Eurasia,-,-,-,-,-,-,-,-,-,turkey,-,-,2618-639x,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,да,нет,да,да,-,-
1120,Acta Veterinaria Hungarica,acta veterinaria hungarica,akademiai kiado,1951,-,-,есть,-,нет,-,венгрия,-,-,0236-6290,-,-,-,http://akademiai.com/loi/004,да,83,выходит,да,60,1990 - 2021,нет,0,нет,-,2579,нет,нет,-,нет,-,-,-,-,-
1121,Acta Veterinaria Scandinavica,acta veterinaria scandinavica,danske dyrlaegeforening/danish veterinary association,-,-,-,есть,-,нет,-,дания,-,-,0044-605x,-,-,-,-,да,81,выходит,да,31,1960 - 2021,нет,0,нет,-,4885,нет,нет,-,нет,-,-,-,-,-
1122,"Acta Veterinaria Scandinavica, Supplement","acta veterinaria scandinavica, supplement",danske dyrlaegeforening/danish veterinary association,-,-,-,нет,-,нет,-,дания,-,-,0065-1699,-,-,-,-,нет,2,не выходит,нет,1,2002 - 2002,нет,0,нет,-,179,нет,нет,-,нет,-,-,-,-,-
1123,Acta Virologica,acta virologica,slovak academic press ltd.,-,-,-,есть,-,нет,-,словакия,-,-,0001-723x,-,-,-,-,да,594,выходит,да,209,1967 - 2021,нет,0,нет,-,8498,нет,нет,-,нет,-,-,-,-,-
1124,Acta vitaminologica,acta vitaminologica,capriolo &amp; massimino,-,-,-,нет,-,нет,-,италия,-,-,0001-7248,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,2,нет,нет,-,нет,-,-,-,-,-
1125,Acta Vitaminologica et Enzymologica,acta vitaminologica et enzymologica,officine grafiche garz,-,-,-,нет,-,нет,-,италия,-,-,0300-8924,-,-,-,-,нет,2,не выходит,нет,2,1983 - 1985,нет,0,нет,-,358,нет,нет,-,нет,-,-,-,-,-
1126,Acta VŠFS,-,-,-,-,-,-,-,-,-,czech republic,praha,-,1802-792x,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,да,нет,нет,нет,-,-
1127,Acta Vulcanologica,acta vulcanologica,-,-,-,-,нет,-,нет,-,италия,-,-,1121-9114,-,-,-,http://www.libraweb.net/riviste.php?chiave=1&amp;h=426&amp;w=300,нет,0,выходит,нет,0, - ,нет,0,нет,-,924,нет,нет,-,нет,-,-,-,-,-
1128,Acta Vulnologica,acta vulnologica,edizioni minerva medica s.p.a.,-,-,-,нет,-,нет,-,италия,-,-,1721-2596,-,-,-,-,нет,2,выходит,нет,2,2016 - 2016,нет,0,нет,-,20,нет,нет,-,нет,-,-,-,-,-
1129,Acta Zoologica,acta zoologica,"elsevier science publishing company, inc.",-,-,-,есть,-,нет,azo,великобритания,-,-,0001-7272,-,-,-,-,да,465,выходит,да,156,1925 - 2021,нет,0,нет,-,9551,нет,нет,-,нет,-,-,-,-,-
1130,Acta Zoologica Academiae Scientiarum Hungaricae,acta zoologica academiae scientiarum hungaricae,magyar termeszettudomanyi muzeum,-,-,-,есть,-,нет,-,венгрия,-,-,1217-8837,-,-,-,-,да,151,выходит,да,86,1973 - 2021,нет,0,нет,-,3217,нет,нет,-,да,-,-,-,-,-
1131,Acta Zoologica Bulgarica,acta zoologica bulgarica,"институт по зоология, българска академия на науките",1951,-,3,есть,-,нет,-,болгария,-,-,0324-0770,-,-,-,http://www.zoology.bas.bg/publ/azb.html,да,303,выходит,да,56,2006 - 2020,нет,0,нет,-,3029,нет,нет,-,нет,-,-,-,-,-
1132,Acta Zoologica Cracoviensia,acta zoologica cracoviensia,instytut systematyki i ewolucji zwierzat,1956,-,4,нет,-,нет,-,-,-,-,0065-1710,-,-,-,http://www.isez.pan.krakow.pl/journals/azc.htm,нет,14,выходит,нет,9,1996 - 2015,нет,0,нет,-,4131,нет,нет,-,нет,-,-,-,-,-
1133,Acta Zoologica Fennica,acta zoologica fennica,-,-,-,-,нет,-,нет,-,финляндия,-,-,0001-7299,-,-,-,http://www.sekj.org/actazool.html,нет,5,не выходит,нет,2,1984 - 1995,нет,0,нет,-,3746,нет,нет,-,нет,-,-,-,-,-
1134,Acta Zoologica Hungarica,acta zoologica hungarica,akademiai kiado,-,-,-,нет,-,нет,-,венгрия,-,-,0236-7130,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,917,нет,нет,-,нет,-,-,-,-,-
1135,Acta Zoologica Lituanica,acta zoologica lituanica,-,1989,-,-,нет,-,нет,-,литва,-,-,1392-1657,-,-,-,http://www.ekoi.lt/en/pages/view/?id=45,нет,115,не выходит,нет,42,1997 - 2011,нет,0,нет,-,1605,нет,нет,-,нет,-,-,-,-,-
1136,Acta Zoológica Mexicana,acta zoológica mexicana,-,-,-,-,нет,-,нет,-,мексика,-,-,0065-1737,-,-,-,-,нет,2,выходит,нет,2,2000 - 2015,нет,0,нет,-,65,нет,нет,-,нет,-,-,-,-,-
1137,Acta Zoologica Sinica,acta zoologica sinica,kexue chubaneshe/science press,-,-,-,нет,-,нет,-,китай,-,-,0001-7302,-,-,-,-,нет,12,не выходит,нет,6,2009 - 2010,нет,0,нет,-,2598,нет,нет,-,нет,-,-,-,-,-
1138,Acta Zootaxonomica Sinica,acta zootaxonomica sinica,-,-,-,-,нет,-,нет,-,китай,пекин,-,1000-0739,-,-,-,http://www.oriprobe.com/journals/dwfl.html,нет,1,выходит,нет,1,2012 - 2012,нет,0,нет,-,2585,нет,нет,-,нет,-,-,-,-,-
1139,Actas Dermo-Sifiliograficas,actas dermo-sifiliograficas,ediciones doyma s.a.,-,-,-,нет,-,нет,-,испания,-,-,0001-7310,-,-,-,-,да,116,выходит,да,83,1996 - 2021,нет,0,нет,-,2152,нет,нет,-,нет,-,-,-,-,-
1140,Actas Espanolas de Psiquiatria,actas espanolas de psiquiatria,grupo ars xxi de cominicacion,-,-,-,есть,-,нет,-,испания,-,-,1139-9287,-,-,-,-,да,52,выходит,да,42,1997 - 2021,нет,0,нет,-,1214,нет,нет,-,нет,-,-,-,-,-
1141,Actas Luso-Espanolas de Neurologia Psiquiatria y Ciencias Afines,actas luso-espanolas de neurologia psiquiatria y ciencias afines,grupo ars xxi de cominicacion,-,-,-,нет,-,нет,-,испания,-,-,0300-5062,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,127,нет,нет,-,нет,-,-,-,-,-
1142,Actas luso-espanolas de neurologia y psiquiatria,actas luso-espanolas de neurologia y psiquiatria,madrid editorial paz montalvo,-,-,-,нет,-,нет,-,испания,-,-,0001-7329,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,26,нет,нет,-,нет,-,-,-,-,-
1143,Actas Urologicas Espanolas,actas urologicas espanolas,asociacion espanola de urologia,-,-,-,есть,-,нет,-,испания,-,-,0210-4806,-,-,-,-,да,165,выходит,да,102,2001 - 2021,нет,0,нет,-,2108,нет,нет,-,нет,-,-,-,-,-
1144,Actes (IFSTTAR),-,-,-,-,-,-,-,-,-,-,-,-,2115-418x,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
1145,Actes de la Recherche en Sciences Sociales,actes de la recherche en sciences sociales,editions du seuil,1975,да,4,есть,-,нет,-,франция,-,-,0335-5322,-,-,-,-,да,2,выходит,да,2,1993 - 2008,нет,0,нет,-,841,нет,нет,-,нет,-,-,-,-,-
1146,Actes des Colloques Insectes Sociaux,actes des colloques insectes sociaux,international union for the study of social insects,1983,-,1,нет,-,нет,-,франция,-,-,0257-0076,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,84,нет,нет,-,нет,-,-,-,-,-
1147,Acting Archives Review,acting archives review,-,2011,-,-,нет,-,нет,-,италия,-,-,2039-9766,-,-,-,http://www.actingarchives.unior.it/rivista/archivio.aspx,нет,2,выходит,нет,2,2011 - 2012,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
1148,Action contre le SIDA,action contre le sida,e n d a editions,-,-,-,нет,-,нет,-,сенегал,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
1149,Action in Teacher Education,-,-,1978,-,-,-,-,-,-,uk,-,-,0162-6620,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
1150,Action Learning: Research and Practice,action learning: research and practice,-,-,-,-,нет,-,нет,-,великобритания,-,-,1476-7333,-,-,-,-,да,0,выходит,да,0, - ,нет,0,нет,-,81,нет,нет,-,нет,-,-,-,-,-
1151,Action Research,action research,sage publications,-,-,-,есть,-,нет,-,великобритания,-,-,1476-7503,-,-,-,-,да,3,выходит,да,3,2005 - 2017,нет,0,нет,-,225,нет,нет,-,нет,-,-,-,-,-
1152,Active and Passive Electronic Components,active and passive electronic components,taylor &amp; francis,-,-,-,нет,-,нет,-,великобритания,-,-,0882-7516,-,-,-,-,да,26,выходит,да,16,1988 - 2019,нет,0,нет,-,590,нет,нет,-,да,-,-,-,-,-
1153,Active Learning in Higher Education,active learning in higher education,sage publications,-,-,-,есть,-,нет,-,сша,-,-,1469-7874,-,-,-,-,да,4,выходит,да,4,2008 - 2020,нет,0,нет,-,519,нет,нет,-,нет,-,-,-,-,-
1154,Active Volcanoes of the World,-,-,-,-,-,-,-,-,-,germany,-,-,2195-3589,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
1155,Actividad Dietetica,actividad dietetica,elsevier doyma,-,-,-,нет,-,нет,-,испания,-,-,1138-0322,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,2,нет,нет,-,нет,-,-,-,-,-
1156,Activitas Nervosa Superior,activitas nervosa superior,-,-,-,-,нет,-,нет,act. nerv. super.,чехия,-,-,1802-9698,-,-,-,-,нет,87,выходит,да,54,1973 - 2020,нет,0,нет,-,1062,нет,нет,-,нет,-,-,-,-,-
1157,Activitas Nervosa Superior Rediviva,activitas nervosa superior rediviva,-,-,-,-,нет,-,нет,act. nerv. super. rediviva,словакия,-,-,1337-933x,-,-,-,-,да,35,выходит,да,20,2009 - 2019,нет,0,нет,-,156,нет,нет,-,нет,-,-,-,-,-
1158,ACTIVITAT PARLAMENTARIA,-,-,-,-,-,-,-,-,-,spain,-,-,1577-7162,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,нет,нет,да,да,-,-
1159,Activites,activites,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,http://activites.revues.org/,да,0,выходит,нет,0, - ,нет,0,нет,-,16,нет,нет,-,нет,-,-,-,-,-
1160,"Activities, Adaptation and Aging","activities, adaptation and aging",-,-,-,-,нет,-,нет,-,сша,-,-,0192-4788,-,-,-,-,да,8,выходит,да,7,1994 - 2021,нет,0,нет,-,117,нет,нет,-,нет,-,-,-,-,-
1161,Actographe,actographe,-,-,-,-,нет,-,нет,-,франция,-,-,-,-,-,-,http://actographe.eu/index.php?s=pres&amp;id=0,нет,2,выходит,нет,2,2018 - 2018,нет,0,нет,-,3,нет,нет,-,нет,-,-,-,-,-
1162,Actual Problems of Applied Sciences Journal World,-,-,2018,-,-,-,-,-,-,estonia,tallinn,-,-,-,-,-,"street: mannimae / 1, city: pudisoo village, vald: kuusalu, country: estonia, zip / postal code: 74626",-,-,-,нет,-,-,нет,-,-,нет,-,-,нет,нет,нет,да,нет,нет,10.54142,"index copernicus, erih plus, national library of estonia, e-cataloog ester"
1163,Actual Topics on Womens Health,actual topics on womens health,-,-,-,-,нет,-,нет,-,-,-,-,2298-0091,-,-,-,-,нет,3,выходит,нет,3,2013 - 2015,нет,0,нет,-,5,нет,нет,-,нет,-,-,-,-,-
1164,Actualidad Contable Faces,actualidad contable faces,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,да,0,выходит,нет,0, - ,нет,0,нет,-,6,нет,нет,-,да,-,-,-,-,-
1165,Actualidad Juridica Ambiental,actualidad juridica ambiental,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,http://www.actualidadjuridicaambiental.com/,да,1,выходит,нет,1,2021 - 2021,нет,0,нет,-,6,нет,нет,-,да,-,-,-,-,-
1166,Actualidad Juridica Iberoamericana,-,-,-,-,-,-,-,-,-,spain,-,-,-,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
1167,Actualidades en Psicologia,actualidades en psicologia,-,-,-,-,нет,-,нет,-,-,-,-,0258-6444,-,-,-,http://www.revistas.ucr.ac.cr/index.php/actualidades,да,0,выходит,нет,0, - ,нет,0,нет,-,9,нет,нет,-,да,-,-,-,-,-
1168,Actualidades Pedagógicas,actualidades pedagógicas,-,-,-,-,нет,-,нет,-,колумбия,-,-,0120-1700,-,-,-,http://revistas.lasalle.edu.co/index.php/ap,да,0,выходит,нет,0, - ,нет,0,нет,-,6,нет,нет,-,нет,-,-,-,-,-
1169,Actualite Chimique,actualite chimique,societe francaise de chimie,-,-,-,нет,-,нет,-,франция,-,-,0151-9093,-,-,-,-,нет,141,выходит,да,87,1996 - 2020,нет,0,нет,-,1125,нет,нет,-,нет,-,-,-,-,-
1170,Actualites cardiologiques et angeiologiques internationales,actualites cardiologiques et angeiologiques internationales,expansion scientifipue francaise,-,-,-,нет,-,нет,-,франция,-,-,0365-1045,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
1171,Actualites hepato-gastro-enterologiques,actualites hepato-gastro-enterologiques,expansion scientifipue francaise,-,-,-,нет,-,нет,-,франция,-,-,0240-8007,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
1172,Actualites Odonto-Stomatologiques,actualites odonto-stomatologiques,-,-,-,-,нет,-,нет,actual. odontostomatol.,-,-,-,0001-7817,-,-,-,https://aos.edp-dentaire.fr/,нет,1,выходит,нет,1,1974 - 1974,нет,0,нет,-,20,нет,нет,-,нет,-,-,-,-,-
1173,Actualites Pharmaceutiques,actualites pharmaceutiques,"elsevier science publishing company, inc.",-,-,-,нет,-,нет,-,франция,-,-,0515-3700,-,-,-,-,да,28,выходит,да,26,2009 - 2021,нет,0,нет,-,28,нет,нет,-,нет,-,-,-,-,-
1174,Actualites Pharmaceutiques Hospitalieres,actualites pharmaceutiques hospitalieres,-,-,-,-,нет,-,нет,-,нидерланды,-,-,1769-7344,-,-,-,-,нет,3,выходит,нет,3,2007 - 2009,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
1175,Actualites Reproduction Humaine,actualites reproduction humaine,editions e s k a,-,-,-,нет,-,нет,-,франция,-,-,1243-6933,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
1176,Actualizaciones en Anestesiologia y Reanimacion,actualizaciones en anestesiologia y reanimacion,aran ediciones sa,-,-,-,нет,-,нет,-,испания,-,-,1132-0095,-,-,-,-,нет,7,не выходит,нет,7,2000 - 2009,нет,0,нет,-,3,нет,нет,-,нет,-,-,-,-,-
1177,Actualizaciones en Osteologia,actualizaciones en osteologia,-,-,-,-,нет,-,нет,-,аргентина,-,-,1669-8975,-,-,-,-,да,24,выходит,да,19,2009 - 2020,нет,0,нет,-,37,нет,нет,-,нет,-,-,-,-,-
1178,Actualscience,-,-,2015,-,-,-,-,-,-,россия,москва,-,2412-9690,-,-,-,"105005, москва, ул. ладожская, д. 8.",-,-,-,нет,-,-,нет,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
1179,Actuators,actuators,-,-,-,-,есть,-,нет,-,швейцария,-,-,2076-0825,-,-,-,http://www.mdpi.com/journal/actuators,да,86,выходит,да,29,2013 - 2021,нет,0,нет,-,902,нет,нет,-,да,-,-,-,-,-
1180,Actuel Marx,actuel marx,presses universitaires de france,-,-,-,нет,-,нет,-,франция,-,-,0994-4524,-,-,-,-,нет,1,выходит,да,1,2020 - 2020,нет,0,нет,-,26,нет,нет,-,нет,-,-,-,-,-
1181,Acupuncture and Electro-Therapeutics Research,acupuncture and electro-therapeutics research,cognizant communication corp.,-,-,-,есть,-,нет,-,сша,-,-,0360-1293,-,-,-,-,да,87,выходит,да,53,1983 - 2021,нет,0,нет,-,1863,нет,нет,-,нет,-,-,-,-,-
1182,Acupuncture and Related Therapies,acupuncture and related therapies,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,http://www.journals.elsevier.com/acupuncture-and-related-therapies/,нет,0,выходит,нет,0, - ,нет,0,нет,-,9,нет,нет,-,нет,-,-,-,-,-
1183,Acupuncture in Medicine,acupuncture in medicine,british medical acupuncture society,-,-,-,есть,-,нет,-,великобритания,-,-,0964-5284,-,-,-,-,да,52,выходит,да,38,2000 - 2021,нет,0,нет,-,1596,нет,нет,-,нет,-,-,-,-,-
1184,Acustica,acustica,-,1936,-,-,нет,-,нет,acustica,германия,-,-,0001-7884,-,-,-,-,нет,66,не выходит,нет,35,1989 - 2001,нет,0,нет,-,5571,нет,нет,-,нет,-,-,-,-,-
1185,Acute and Critical Care,-,-,-,-,-,-,-,-,-,south korea,-,-,2586-6052,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,да,нет,да,да,-,-
1186,Acute Cardiac Care,acute cardiac care,-,-,-,-,нет,-,нет,acute card. care,великобритания,-,-,1748-2941,-,-,-,-,нет,29,выходит,нет,18,2006 - 2016,нет,0,нет,-,765,нет,нет,-,нет,-,-,-,-,-
1187,Acute Care,acute care,s. karger ag,-,-,-,нет,-,нет,-,швейцария,-,-,0254-0819,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,44,нет,нет,-,нет,-,-,-,-,-
1188,Acute Coronary Syndromes,acute coronary syndromes,-,-,-,-,нет,-,нет,-,-,-,-,1369-5312,-,-,-,-,нет,3,выходит,нет,3,2008 - 2011,нет,0,нет,-,43,нет,нет,-,нет,-,-,-,-,-
1189,Acute Medicine,acute medicine,"rila publications, ltd.",-,-,-,нет,-,нет,-,великобритания,-,-,1747-4884,-,-,-,-,нет,18,выходит,да,15,2007 - 2021,нет,0,нет,-,111,нет,нет,-,нет,-,-,-,-,-
1190,Acute Medicine &amp; Surgery,acute medicine &amp; surgery,wiley-blackwell,-,-,-,нет,-,нет,-,сша,-,-,2052-8817,-,-,-,http://onlinelibrary.wiley.com/journal/10.1002/(issn)2052-8817,да,2,выходит,нет,1,2020 - 2020,нет,0,нет,-,18,нет,нет,-,да,-,-,-,-,-
1191,Acute Pain,acute pain,"elsevier science publishing company, inc.",-,-,-,нет,-,нет,-,великобритания,-,-,1366-0071,-,-,-,http://www.sciencedirect.com/science/journal/13660071,нет,7,не выходит,нет,7,2000 - 2009,нет,0,нет,-,202,нет,нет,-,нет,-,-,-,-,-
1192,Ad Age Global,ad age global,crain communications inc. (mi),-,-,-,нет,-,нет,ead,великобритания,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
1193,AD ALTA: Journal of Interdisciplinary Research,ad alta: journal of interdisciplinary research,-,-,-,-,нет,-,нет,-,чехия,-,-,-,-,-,-,https://ores.su/ru/journals/ad-alta-journal-of-interdisciplinary-resea,да,80,выходит,нет,19,2016 - 2021,нет,1,нет,-,389,да,нет,-,нет,-,-,-,-,-
1194,Ad Astra,ad astra,university microfilms international,-,-,-,нет,-,нет,gads,-,-,-,1041-102x,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,48,нет,нет,-,нет,-,-,-,-,-
1195,Ad fontes. Материалы и исследования по истории науки,-,-,-,-,-,-,-,-,-,россия,санкт-петербург,-,-,-,-,-,-,-,-,-,нет,-,-,нет,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
1196,Ad Hoc Networks,ad hoc networks,"elsevier science publishing company, inc.",-,-,-,есть,-,нет,-,нидерланды,-,-,1570-8705,-,-,-,http://www.sciencedirect.com/science/journal/15708705,да,126,выходит,да,67,2006 - 2021,нет,0,нет,-,6354,нет,нет,-,нет,-,-,-,-,-
1197,Ad Limina,-,-,-,-,-,-,-,-,-,spain,-,-,2171-620x,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
1198,AD nurse,ad nurse,data design inc.,-,-,-,нет,-,нет,-,сша,-,-,0887-2198,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
1199,Ad verba liberorum: Linguistics &amp; Pedagogy &amp; Psychology,ad verba liberorum: linguistics &amp; pedagogy &amp; psychology,-,2009,-,1,нет,-,нет,-,латвия,рига,-,1691-5771,-,-,-,http://www.rpiva.lv/index.php?language=en&amp;mh=ad_verba_liiberorum,нет,3,выходит,нет,2,2009 - 2010,нет,0,нет,-,9,нет,нет,-,нет,-,-,-,-,-
1200,ADA forecast,ada forecast,american diabetes association,-,-,-,нет,-,нет,-,сша,-,-,0001-0847,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
1201,Ada letters,ada letters,-,1981,-,-,нет,-,нет,ada lett,-,-,-,0736-721x,-,-,-,https://dl.acm.org/citation.cfm?id=j32&amp;picked=prox,нет,1,выходит,нет,1,1993 - 1993,нет,0,нет,-,8,нет,нет,-,нет,-,-,-,-,-
1202,Ada user,ada user,ada language uk ltd.,-,-,-,нет,-,нет,-,великобритания,-,-,0268-652x,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,4,нет,нет,-,нет,-,-,-,-,-
1203,Ada User Journal,ada user journal,ada language uk ltd.,-,-,-,нет,-,нет,-,великобритания,-,-,1381-6551,-,-,-,-,нет,3,выходит,да,3,2012 - 2020,нет,0,нет,-,8,нет,нет,-,нет,-,-,-,-,-
1204,Adalya,adalya,suna-inan kirac akdeniz medeniyetleri arastirma enstitusu,-,-,-,нет,-,нет,-,турция,-,-,1301-2746,-,-,-,-,да,3,выходит,да,3,2013 - 2020,нет,0,нет,-,43,нет,нет,-,нет,-,-,-,-,-
1205,Adam Mickiewicz University Law Review,-,-,-,-,-,-,-,-,-,poland,poznan,-,2083-9782,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,нет,нет,-,-
1206,Adamantius,adamantius,pazzini editore,-,-,-,нет,-,нет,-,италия,-,-,1126-6244,-,-,-,-,да,6,выходит,нет,4,2005 - 2018,нет,0,нет,-,55,нет,нет,-,нет,-,-,-,-,-
1207,Adansonia,adansonia,museum national d'histoire naturelle,-,-,-,есть,-,нет,-,франция,-,-,1280-8571,-,-,-,-,да,27,выходит,да,20,2004 - 2021,нет,0,нет,-,940,нет,нет,-,да,-,-,-,-,-
