Название,Полное название,Сокращенное название,Адрес,Сайт,Почта,Телефон
Саратовский военный институт войск национальной гвардии РФ,Федеральное государственное казенное военное образовательное учреждение высшего образования «Саратовский военный ордена Жукова Краснознаменный институт войск национальной гвардии Российской Федерации»,СВИ ВНГ РФ,"410023, Саратовская область, г. Саратов, ул. Московская, 158",http://svivng.ru,info@svivv.ru,+78452670551
Национальный исследовательский ядерный университет «МИФИ» — филиал в г. Балаково,Балаковский инженерно-технологический институт - филиал федерального государственного автономного образовательного учреждения высшего образования Национальный исследовательский ядерный университет МИФИ,НИЯУ МИФИ в г. Балаково,"413853, Саратовская область, г. Балаково, ул. Чапаева, д. 140",http://biti.mephi.ru,biti@mephi.ru,-
Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Балаково,Балаковский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,РАНХиГС в г. Балаково,"413865, Саратовская область, г. Балаково, ул. Чапаева, д. 107",http://blk.ranepa.ru,inf.ranhigs.bf@gmail.com,+78453441371
Саратовская государственная юридическая академия — филиал в г. Балаково,Балаковский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Саратовская государственная юридическая академия»,СГЮА в г. Балаково,"413865, Саратовская область, г. Балаково, ул. Красная Звезда, д. 8/1",http://www.balakovo.sgap.ru,sgap-balakovo@list.ru,+78453444049
Саратовский государственный университет им. Н.Г. Чернышевского — филиал в г. Балашов,Балашовский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского»,СГУ им. Н.Г.Чернышевского в г. Балашов,"412300, Саратовская область, г. Балашов, ул. Карла Маркса, д. 29",http://www.sgu.ru/structure/bisgu,mail@bfsgu.ru,+78454540496
Военная академия материально-технического обеспечения им. А.В. Хрулева — филиал в г. Вольск,Филиал федерального государственного казенного военного образовательного учреждения высшего образования «Военная академия материально-технического обеспечения имени генерала армии А.В.Хрулева» Министерства обороны Российской Федерации в г. Вольске,ВА МТО в г. Вольск,"412903, Саратовская область, г. Вольск, ул. М. Горького, д. 3",http://vamto.net/filials/VFVAMTO/,vatt-v@mil.ru,+78459371113
Саратовский государственный технический университет им. Ю.А. Гагарина — филиал в г. Энгельс,Энгельсский технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Саратовский государственный технический университет имени Гагарина Ю.А.»,СГТУ в г. Энгельс,"413100, Саратовская область, г. Энгельс, пл. Свободы, д. 17",http://techn.sstu.ru,eti@techn.sstu.ru,+78453953553
Российский университет кооперации — филиал в г. Энгельс,Поволжский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,РУК в г. Энгельс,"413100, Саратовская область, г. Энгельс, ул. Красноармейская, д. 24",http://engels.ruc.su,engels@rucoop.ru,+78453568544
Якутская государственная сельскохозяйственная академия,Федеральное государственное бюджетное образовательное учреждение высшего образования «Якутская государственная сельскохозяйственная академия»,ЯГСХА,"677007, Саха (Якутия) Республика, г. Якутск, ш. Сергеляхское, 3 км, д. 3",http://ysaa.ru,prof@sakha.ru,+74112507971
Северо-Восточный федеральный университет им. М.К. Аммосова,Федеральное государственное автономное образовательное учреждение высшего образования «Северо-Восточный федеральный университет имени М.К. Аммосова»,СВФУ,"677000, Саха (Якутия) Республика, г. Якутск, ул. Белинского, д. 58",http://s-vfu.ru,rector@s-vfu.ru,+74112352090
Высшая школа музыки им. В.А. Босикова,Государственное бюджетное образовательное учреждение высшего образования «Высшая школа музыки Республики Саха (Якутия)  (институт) имени В.А. Босикова»,ВШМ,"677007, Саха (Якутия) Республика, г. Якутск, ш. Покровское, 16 км, д. 2",http://vschoolmus.ru,vshkolamus@mail.ru,+74112316001
Сибирский государственный университет водного транспорта — филиал в г. Якутск,Якутский институт водного транспорта - филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Сибирский государственный университет водного транспорта»,СГУВТ в г. Якутск,"677000, Саха (Якутия) Республика, г. Якутск, ул. Водников, д. 1",http://yiwt.ru,Lfngavt@mail.ru,+74112218482
Арктический государственный институт культуры и искусств,Федеральное государственное бюджетное образовательное учреждение высшего образования «Арктический государственный институт культуры и искусств»,АГИКИ,"677000, Саха (Якутия) Республика, г. Якутск, ул. Орджоникидзе, д. 4",http://agiki.ru,agiki@mail.ru,+74112344460
Академия труда и социальных отношений — филиал в г. Якутск,Якутский экономико-правовой институт (филиал) Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений»,АТиСО в г. Якутск,"677002, Саха (Якутия) Республика, г. Якутск, ул. Дежнева, д. 16",http://www.yaepi.ru,solen2004@mail.ru,+74112360988
Восточно-Сибирский институт экономики и менеджмента,Негосударственное образовательное учреждение высшего образования «Восточно-Сибирский институт экономики и менеджмента»,ВСИЭМ,"677000, Саха (Якутия) Республика, г. Якутск, Вилюйский тракт, 4 км, д. 3А",http://vsiem.ru,info@vsiem.ru,+74112369792
Якутский гуманитарный институт,Автономная некоммерческая образовательная организация высшего образования «Якутский гуманитарный институт»,ЯкГИ,", Саха (Якутия) Республика, г. Якутск, ул. Петровского, д. 19",http://yagumin.ru,,-
Северо-Восточный федеральный университет им. М.К. Аммосова — филиал в г. Мирный,Политехнический институт (филиал) федерального государственного автономного образовательного учреждения высшего образования «Северо-Восточный федеральный университет имени М.К. Аммосова» в г. Мирном,СВФУ в г. Мирный,"678170, Саха (Якутия) Республика, г. Мирный, ул. Тихонова, д. 5/1",http://www.s-vfu.ru/universitet/rukovodstvo-i-struktura/instituty/mpti,aa.goldman@s-vfu.ru,+74113635238
Северо-Восточный федеральный университет им. М.К. Аммосова — филиал в г. Нерюнгри,Технический институт (филиал) федерального государственного автономного образовательного учреждения высшего образования «Северо-Восточный федеральный университет имени М.К. Аммосова» в г. Нерюнгри,СВФУ в г. Нерюнгри,"678960, Саха (Якутия) Республика, г. Нерюнгри, ул. Кравченко, д. 16",http://nti.s-vfu.ru,nfygu@neru.sakha.ru,+74114744983
Якутская государственная сельскохозяйственная академия — филиал в г. Октемцы,Октёмский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Якутская государственная сельскохозяйственная академия»,ЯГСХА в г. Октемцы,"678011, Саха (Якутия) Республика, г. Октемцы, переулок Моисеева, д. 16",http://ysaa.ru/akademiia/filialy/oktemskii-filial/oktemskii-filial,oktemacad@rambler.ru,+74114424426
Чурапчинский государственный институт физической культуры и спорта,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чурапчинский государственный институт физической культуры и спорта»,ЧГИФКИС,"678671, Саха (Якутия) Республика, г. Чурапча, ул. Спортивная, д. 2",http://www.chgifkis.ru,rector@chgifkis.ru,+74115143200
Сахалинский государственный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Сахалинский государственный университет»,СахГУ,"693008, Сахалинская область, г. Южно-Сахалинск, ул. Ленина, д. 290",http://www.sakhgu.ru,info@sakhgu.ru,+74242452301
Дальневосточный государственный университет путей сообщения — филиал в г. Южно-Сахалинск,Сахалинский институт железнодорожного транспорта – филиал федерального государственного бюджетного образовательного учреждения высшего образования «Дальневосточный государственный университет путей сообщения» в г. Южно-Сахалинске,ДВГУПС в г. Южно-Сахалинск,"693007, Сахалинская область, г. Южно-Сахалинск, ул. Физкультурная, д. 126В",http://new.dvgups-sakh.ru,sahizt@festu.khv.ru,+74242729670
Уральский федеральный университет им. Б.Н. Ельцина,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»,УрФУ,"620002, Свердловская область, г. Екатеринбург, ул. Мира, д. 19",http://urfu.ru,contact@urfu.ru,+78001005044
Уральский государственный лесотехнический университет,Федеральное государственное бюджетное  образовательное учреждение высшего образования «Уральский государственный лесотехнический университет»,УГЛТУ,"620100, Свердловская область, г. Екатеринбург, Сибирский тракт, д. 37",http://www.usfeu.ru,rector@m.usfeu.ru,+73432212100
Екатеринбургский государственный театральный институт,Федеральное государственное бюджетное  образовательное учреждение высшего образования «Екатеринбургский государственный театральный институт»,ЕГТИ,"620014, Свердловская область, г. Екатеринбург, ул. Вайнера, д. 2",http://www.egti.ru,r_egti@mail.ru,+73433717645
Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Екатеринбург,Уральский институт управления - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,РАНХиГС в г. Екатеринбург,"620144, Свердловская область, г. Екатеринбург, ул. 8 Марта, д. 66",http://ui.ranepa.ru,priem@ui.ranepa.ru,+73432572005
Уральский государственный аграрный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный аграрный университет»,УрГАУ,"620075, Свердловская область, г. Екатеринбург, ул. Карла Либкнехта, д. 42",http://urgau.ru,rector.urgau@yandex.ru,+73433713363
Уральский государственный экономический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный экономический университет»,УрГЭУ,"620144, Свердловская область, г. Екатеринбург, ул. 8 Марта/Народной Воли, д. 62/45",http://www.usue.ru,usue@usue.ru,+73432831328
Уральский государственный педагогический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный педагогический университет»,УрГПУ,"620017, Свердловская область, г. Екатеринбург, проспект Космонавтов, д. 26",http://uspu.ru,uspu@uspu.me,+73432357614
Уральский государственный архитектурно-художественный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный архитектурно-художественный университет»,УрГАХУ,"620075, Свердловская область, г. Екатеринбург, ул. Карла Либкнехта, д. 23",http://usaaa.ru,rector@usaaa.ru,+73433713369
Уральский государственный университет путей сообщения,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный университет путей сообщения»,УрГУПС,"620034, Свердловская область, г. Екатеринбург, ул. Колмогорова, д. 66",http://www.usurt.ru,rector@usurt.ru,+73432212444
Уральский государственный горный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный горный университет»,УГГУ,"620144, Свердловская область, г. Екатеринбург, ул. Куйбышева, д. 30",http://www.ursmu.ru,office@ursmu.ru,+73432572547
Уральская государственная консерватория им. М.П. Мусоргского,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральская государственная консерватория имени М.П. Мусоргского»,УГК,"620014, Свердловская область, г. Екатеринбург, проспект Ленина, д. 26",http://uralconsv.org,mail@uralconsv.org,+73433712180
Уральский государственный юридический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный юридический университет»,УрГЮУ,"620137, Свердловская область, г. Екатеринбург, ул. Комсомольская, д. 21",http://usla.ru,kanc@usla.ru,+73433744363
Уральский государственный медицинский университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный медицинский университет» Министерства здравоохранения Российской Федерации,УГМУ,"620028, Свердловская область, г. Екатеринбург, ул. Репина, д. 3",http://usma.ru,usma@usma.ru,+73432148652
Екатеринбургская академия современного искусства,Муниципальное бюджетное образовательное учреждение высшего образования «Екатеринбургская академия современного искусства» (институт),ЕАСИ,"620012, Свердловская область, г. Екатеринбург, ул. Красных партизан, д. 9",http://xn--80ajk9a.xn--80acgfbsl1azdqr.xn--p1ai,info@eaca.ru,+73432537315
Уральский государственный университет физической культуры — филиал в г. Екатеринбург,Екатеринбургский институт физической культуры (филиал) Федерального государственного бюджетного образовательного учреждения высшего образования «Уральский государственный университет физической культуры»,УралГУФК в г. Екатеринбург,"620146, Свердловская область, г. Екатеринбург, ул. Шаумяна, д. 85",http://www.sport-ural.ru,direkt@sport-ural.ru,+73432346341
Гуманитарный университет,Автономная некоммерческая организация высшего образования «Гуманитарный университет»,ГУ,"620041, Свердловская область, г. Екатеринбург, ул. Железнодорожников, д. 3",http://gu-ural.ru,lau@r66.ru,+73433055075
Уральский институт фондового рынка,Автономная некоммерческая организация высшего образования Уральский институт фондового рынка,УИФР,"620100, Свердловская область, г. Екатеринбург, ул. Сибирский тракт, д. 35",http://uifr.ru,info@uifr.ru,+73432546236
Уральский юридический институт МВД РФ,Федеральное государственное казенное образовательное учреждение высшего образования «Уральский юридический институт Министерства внутренних дел Российской Федерации»,УрЮИ МВД России,"620057, Свердловская область, г. Екатеринбург, ул. Корепина, д. 66",http://xn--h1api9b.xn--b1aew.xn--p1ai,ural-yui@mvd.ru,+73433790930
Уральский институт Государственной противопожарной службы МЧС РФ,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский институт Государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий»",УИ ГПС МЧС РФ,"620062, Свердловская область, г. Екатеринбург, ул. Мира, д. 22",http://uigps.ru,uigps@uigps.ru,+73433608074
Уральский институт экономики,"Негосударственное аккредитованное частное образовательное учреждение высшего образования «Уральский институт экономики, управления и права»",УИЭУиП,"620026, Свердловская область, г. Екатеринбург, ул. Луначарского, д. 194",http://www.urep.ru,root@urep.ru,+73432613007
Российский государственный профессионально-педагогический университет,Федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный профессионально-педагогический университет»,РГППУ,"620012, Свердловская область, г. Екатеринбург, ул. Машиностроителей, д. 11",http://www.rsvpu.ru,mail@rsvpu.ru,+73433384447
Институт международных связей,Частное образовательное учреждение высшего образования «Институт международных связей»,ИМС,"620144, Свердловская область, г. Екатеринбург, ул. Отто Шмидта, д. 58",http://www.ims-ural.ru,inbox@ims-ural.ru,+73432105607
Сибирский государственный университет телекоммуникаций и информатики — филиал в г. Екатеринбург,Уральский технический институт связи и информатики (филиал) федерального государственного бюджетного образовательного  учреждения высшего образования «Сибирский государственный университет телекоммуникаций и информатики» в г. Екатеринбурге,СибГУТИ в г. Екатеринбург,"620109, Свердловская область, г. Екатеринбург, ул. Репина, д. 15",http://www.uisi.ru,adm@uisi.ru,+73432323902
Технический университет УГМК,Негосударственное частное образовательное учреждение высшего образования «Технический университет УГМК»,ТУ УГМК,"624091, Свердловская область, г. Верхняя Пышма, г. Верхняя Пышма, пр-т Успенский, д. 3",http://www.eduugmk.com,University@tu-ugmk.com,+73436878300
Уральский федеральный университет им. Б.Н. Ельцина — филиал в г. Верхняя Салда,Филиал федерального государственного автономного образовательного учреждения высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина» в г. Верхняя Салда,УрФУ в г. Верхняя Салда,"624760, Свердловская область, г. Верхняя Салда, ул. Рабочей молодежи, д. 1",http://vsalda.urfu.ru,filial.vsalda@urfu.ru,+73434520360
Уральский федеральный университет им. Б.Н. Ельцина — филиал в г. Краснотурьинск,Филиал федерального государственного автономного образовательного учреждения высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина» в г. Краснотурьинске,УрФУ в г. Краснотурьинск,"624440, Свердловская область, г. Краснотурьинск, ул. Ленина, д. 41",http://ktur.urfu.ru/ru,kr_ugtu@mail.ru,+73438434089
Национальный исследовательский ядерный университет «МИФИ» — филиал в г. Лесной,Технологический институт - филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский ядерный университет «МИФИ»,НИЯУ МИФИ в г. Лесной,"624200, Свердловская область, г. Лесной, проспект Коммунистический, д. 36",http://www.mephi3.ru,til@mephi.ru,+73434247057
Уральский федеральный университет им. Б.Н. Ельцина — филиал в г. Нижний Тагил,Нижнетагильский технологический институт (филиал) федерального государственного автономного образовательного учреждения высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»,УрФУ в г. Нижний Тагил,"622031, Свердловская область, г. Нижний Тагил, ул. Красногвардейская, д. 59",http://nti.urfu.ru,nti@urfu.ru,+73435256500
Национальный исследовательский ядерный университет «МИФИ» — филиал в г. Новоуральск,Новоуральский технологический институт - филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский ядерный университет «МИФИ»,НИЯУ МИФИ в г. Новоуральск,"624130, Свердловская область, г. Новоуральск, ул. Ленина, д. 85",http://www.nsti.ru,secretary@nsti.ru,+73437094951
Северо-Осетинская государственная медицинская академия,Федеральное государственное бюджетное образовательное учреждение высшего образования «Северо-Осетинская государственная медицинская академия» Министерства здравоохранения Российской Федерации,СОГМА,"362019, Северная Осетия Алания, г. Владикавказ, ул.Пушкинская, 40.",http://sogma.ru,sogma.rso@gmail.com,+78672530397
Горский государственный аграрный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Горский государственный аграрный университет»,ГГАУ,"362000, Северная Осетия Алания, г. Владикавказ, ул. Кирова, д. 37",http://www.gorskigau.ru,info@gorskigau.com,+78672532304
Северо-Осетинский государственный университет им. К.Л. Хетагурова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Северо-Осетинский государственный университет имени Коста Левановича Хетагурова»,СОГУ им. К.Л.Хетагурова,"362025, Северная Осетия Алания, г. Владикавказ, ул. Ватутина, д. 44-46",http://www.nosu.ru,nosu@nosu.ru,+78672539112
Финансовый университет при Правительстве РФ — филиал в г. Владикавказ,Владикавказский филиал федерального государственного образовательного бюджетного учреждения высшего образования «Финансовый университет при Правительстве Российской Федерации»,ФинУниверситет в г. Владикавказ,"362002, Северная Осетия Алания, г. Владикавказ, ул. Молодежная, д. 7",http://www.old.fa.ru/FIL/VLADIK/about/Pages/default.aspx,vlad_filial@fa.ru,+78672518983
Северо-Кавказский горно-металлургический институт,Федеральное государственное бюджетное образовательное учреждение высшего образования «Северо-Кавказский горно-металлургический институт (государственный технологический университет)»,СКГМИ,"362021, Северная Осетия Алания, г. Владикавказ, ул. Николаева, д. 44",http://www.skgmi-gtu.ru,info@skgmi-gtu.ru,+78672407000
Северо-Осетинский государственный педагогический институт,Государственное бюджетное образовательное учреждение высшего образования «Северо-Осетинский государственный педагогический институт»,СОГПИ,"362003, Северная Осетия Алания, г. Владикавказ, ул. К. Маркса, д. 36",http://sogpi.org,sogpi@mail.ru,+78672259356
Владикавказский институт управления,Частное образовательное учреждение высшего образования «Владикавказский институт управления»,ВИУ,"362025, Северная Осетия Алания, г. Владикавказ, ул. Бородинская, д. 14",http://www.viu-online.ru,viu-online@mail.ru,+78672405175
Смоленская государственная академия физической культуры,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленская государственная академия физической культуры, спорта и туризма»",СГАФКСТ,"214018, Смоленская область, г. Смоленск, проспект Гагарина, 23",http://www.sgafkst.ru,smolakademsport@mail.ru,+74812628959
Смоленский государственный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный университет»,СмолГУ,"214000, Смоленская область, г. Смоленск, ул. Пржевальского, д. 4",http://smolgu.ru,rectorat@smolgu.ru,+74812700201
Смоленская государственная сельскохозяйственная академия,Федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленская государственная сельскохозяйственная академия»,СмолГСХА,"214000, Смоленская область, г. Смоленск, улица Большая Советская дом 10/2",http://www.sgsha.ru,sgsha@smoltelecom.ru,+74812382810
Национальный исследовательский университет «МЭИ» — филиал в г. Смоленск,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Национальный исследовательский университет «МЭИ» в г. Смоленске,МЭИ в г. Смоленск,"214013, Смоленская область, г. Смоленск, Энергетический пр., д. 1",http://www.sbmpei.ru,mail@sbmpei.ru,+74812651461
Российский экономический университет им. Г.В. Плеханова — филиал в г. Смоленск,Смоленский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,РЭУ им. Г.В.Плеханова в г. Смоленск,"214030, Смоленская область, г. Смоленск, ул. Нормандия-Неман, д.21",http://smolensk.rea.ru,smolensk@rea.ru,+74812662663
Финансовый университет при Правительстве РФ — филиал в г. Смоленск,Смоленский филиал федерального государственного образовательного бюджетного учреждения высшего образования «Финансовый университет при Правительстве Российской Федерации»,ФинУниверситет в г. Смоленск,"214018, Смоленская область, г. Смоленск, пр-т Гагарина, д. 22",http://www.old.fa.ru/fil/smolensk/about/Pages/default.aspx,smolensk@fa.ru,+74812358899
Саратовская государственная юридическая академия — филиал в г. Смоленск,Смоленский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Саратовская государственная юридическая академия»,СГЮА в г. Смоленск,"214012, Смоленская область, г. Смоленск, ул. Ударников, д. 3",http://smolsgua.ru,sf_sgap@mail.ru,+74812218288
Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Смоленск,Смоленский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,РАНХиГС в г. Смоленск,"214038, Смоленская область, г. Смоленск, ул. Кловская. д. 13",http://www.smol.ranepa.ru,mail@smol.ranepa.ru,+74812240161
Смоленский государственный институт искусств,Областное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный институт искусств»,СГИИ,"214020, Смоленская область, г. Смоленск, улица Румянцева, дом 8",http://www.sgii-smol.ru,sgii@mail.ru,+74812310288
Смоленская православная духовная семинария РПЦ,Религиозная организация - духовная образовательная организация высшего образования «Смоленская Православная Духовная Семинария Смоленской Епархии Русской Православной Церкви»,СПДС РПЦ,"214000, Смоленская область, г. Смоленск, ул. Тимирязева, д. 5",http://smolensk-seminaria.ru,seminary@e4u.ru,+74812394276
Военная академия войсковой противовоздушной обороны ВС РФ им. А.М. Василевского,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная академия войсковой противовоздушной обороны Вооруженных Сил Российской Федерации имени Маршала Советского Союза А.М.Василевского» Министерства обороны Российской Федерации,ВА ВПВО ВС РФ,"214027, Смоленская область, г. Смоленск, ул. Котовского, д. 2",http://vavpvo.mil.ru,vavpvo-na@mil.ru,+74812299850
Санкт-Петербургский университет технологий управления и экономики — филиал в г. Смоленск,Смоленский институт экономики - филиал частного образовательного учреждения высшего образования «Санкт-Петербургский университет технологий управления и экономики»,СПбУТУиЭ в г. Смоленск,"214031, Смоленская область, г. Смоленск, ул. Смольянинова, дом 5",http://smolensk.spbume.ru,imesmol@mail.ru,+74812610711
Смоленский государственный медицинский университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный медицинский университет» Министерства здравоохранения Российской Федерации,СГМА,"214019, Смоленская область, г. Смоленск, ул. Крупской, дом  28",http://smolgmu.ru,adm@smolgmu.ru,+74812550275
Московский государственный университет технологий и управления им. К.Г. Разумовского — филиал в г. Вязьма,Смоленский казачий институт промышленных технологий и бизнеса (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)»,МГУТУ в г. Вязьма,"215110, Смоленская область, г. Вязьма, ул. Ленина, д. 77",http://www.vfmgutu.ru,vyazma@mgutm.ru,+74813124644
